
Original is pmtqesg.F in SKDetSim.

WaveLength[nm] QE[%]

#DATASTART
280.000000 0.000000
300.000000 1.390000
320.000000 8.540000
340.000000 16.900000
360.000000 20.300000
380.000000 20.600000
400.000000 21.100000
420.000000 20.200000
440.000000 18.800000
460.000000 16.700000
480.000000 14.000000
500.000000 11.600000
520.000000 8.060000
540.000000 4.320000
560.000000 2.646000
580.000000 1.462000
600.000000 0.756000
620.000000 0.508000
640.000000 0.158000
660.000000 0.000000

